l,mu,nu,Real,Imag,Magnitud
16,0,27,0.07770745244902805,-0.007988506572077884,0.07811699177112548
16,0,28,0.0637424924016987,-0.010769456882053836,0.06464585477132337
16,0,29,0.012781706640138103,0.02519139613248797,0.028248512593382333
16,0,30,0.04278248768956409,0.005236238784605147,0.043101733718228855
16,0,31,-0.01948793921266794,0.014083389772096706,0.024044160252116083
16,0,32,0.019487939212667976,0.014083389772096697,0.024044160252116104
16,1,0,-0.2433582813825925,0.020680858309694485,0.244235441772718
16,1,1,-0.025848810266680445,-0.027086036198791383,0.03744081127813714
16,1,2,-0.04663346773032736,-0.004707919521567034,0.046870511185360834
16,1,3,0.031221456583474458,0.0361183414156031,0.04774216100898503
16,1,4,-0.24335828138259233,-0.02068085830969449,0.24423544177271786
16,1,5,-0.032665939144320595,0.037301886905751716,0.04958320629920929
16,1,6,0.16941027004700795,0.008152714196350663,0.16960632755344815
16,1,7,0.046374395479028954,0.02009793778342124,0.05054217703257006
16,1,8,-0.21341542787957754,-0.034539513372639975,0.2161923283584363
16,1,9,0.19019339240780014,0.020228757842633643,0.19126612130600484
16,1,10,-0.07038661204041557,-0.011811889257523998,0.07137083355517145
16,1,11,0.04657607961424186,-0.017420683614588026,0.04972737083168355
16,1,12,-0.1803779586807274,0.03496116904528878,0.18373483969797197
16,1,13,-0.0927157512262502,-0.01738094217444434,0.09433084159658119
16,1,14,0.17674455057125354,-3.8466760098644256e-19,0.17674455057125354
16,1,15,0.09271575122625018,-0.017380942174444348,0.09433084159658117
16,1,16,-0.18037795868072734,-0.034961169045288766,0.1837348396979719
16,1,17,0.04657607961424186,0.017420683614588026,0.04972737083168355
16,1,18,0.19019339240780012,-0.02022875784263364,0.19126612130600482
16,1,19,0.03723850649453172,0.034292984299522676,0.05062326676648387
16,1,20,-0.21341542787957757,0.03453951337263997,0.21619232835843633
16,1,21,-0.04637439547902895,0.02009793778342124,0.05054217703257005
16,1,22,0.16941027004700832,-0.008152714196350688,0.16960632755344848
16,1,23,0.032665939144320554,0.037301886905751806,0.04958320629920933
16,1,24,0.303204698223211,0.05394518775803032,0.3079661869538239
16,1,25,-0.03122145658347442,0.03611834141560312,0.047742161008985026
16,1,26,-0.046633467730327366,0.004707919521567038,0.04687051118536084
16,1,27,0.025848810266680455,-0.027086036198791383,0.03744081127813715
16,1,28,0.303204698223211,-0.05394518775803032,0.3079661869538239
16,1,29,0.07038661204041555,-0.011811889257524005,0.07137083355517142
16,1,30,-0.03723850649453171,0.034292984299522655,0.05062326676648385
16,1,31,-0.048424384999148036,0.03785620433315272,0.061465545381612974
16,1,32,0.04842438499914807,0.03785620433315271,0.061465545381612995
17,0,0,-0.1890334917949678,-0.0663981161428587,0.20035561097089025
17,0,1,0.07226068766222064,0.024122689268515227,0.0761807791963455
17,0,2,0.16394715264116283,-0.0026829870266430384,0.1639691046463628
17,0,3,-0.04276070368045645,0.007235122374325479,0.043368476743128374
17,0,4,-0.12976339185414923,-0.025772994630918707,0.13229809189001498
17,0,5,0.03266490242591432,0.03500571950501837,0.04787897501574702
17,0,6,0.022513111478286902,7.261232605692882e-06,0.022513112649282248
17,0,7,-0.016842915333747585,0.02220978153690061,0.027873969807988255
17,0,8,-0.10923733515664091,0.008721936348370265,0.10958497874156531
17,0,9,0.004895188919759625,-0.04469086025868708,0.04495815682633835
17,0,10,0.1316828028634539,-0.022245363883053534,0.1335485559048271
17,0,11,-0.05002798735554388,-0.0007139682010158217,0.05003308175036313
17,0,12,-0.020648033412262966,0.001567428104951012,0.02070744104562701
17,0,13,-0.02652819418773067,0.0046457281203429335,0.026931911863625507
17,0,14,1.3097680161670206e-17,-0.024657986306576708,0.024657986306576708
17,0,15,-0.015244535955621998,0.011165739514402731,0.01889628575688213
17,0,16,0.026528194187730746,0.004645728120342943,0.026931911863625584
17,0,17,-0.02064803341226297,-0.001567428104951005,0.02070744104562701
17,0,18,0.05002798735554387,-0.0007139682010158104,0.05003308175036312
17,0,19,-0.13168280286345382,-0.02224536388305353,0.133548555904827
17,0,20,0.004895188919759638,0.04469086025868707,0.044958156826338344
17,0,21,0.10923733515664082,0.008721936348370292,0.10958497874156521
17,0,22,-0.01684291533374754,-0.022209781536900588,0.02787396980798821
17,0,23,-0.02251311147828688,7.26123260569325e-06,0.02251311264928223
17,0,24,0.032664902425914306,-0.03500571950501837,0.047878975015747005
17,0,25,0.12976339185414884,-0.02577299463091865,0.1322980918900146
17,0,26,-0.042760703680456424,-0.007235122374325492,0.043368476743128354
17,0,27,-0.1639471526411628,-0.002682987026643045,0.16396910464636277
17,0,28,0.07226068766222064,-0.02412268926851523,0.0761807791963455
17,0,29,0.18903349179496784,-0.06639811614285872,0.20035561097089027
17,0,30,-0.015244535955621995,-0.0111657395144027,0.01889628575688211
17,0,31,0.021145639534397746,-0.027640968991404665,0.03480174188316555
17,0,32,0.0008139357107417119,0.031937303774962164,0.03194767383950564
17,0,33,0.0008139357107416972,-0.031937303774962164,0.03194767383950564
