lambda_A,Sigma_z,Sigma_x,Sigma_y
3.3847695390781563,5.494547207199538,3.515074585972042,3.163132796207972
3.3947895791583167,5.531919288385764,3.509955195027637,3.1437797043374216
3.4048096192384767,5.568556543779832,3.503352110075578,3.1240188658053074
3.414829659318637,5.604432228220656,3.495219731191781,3.1038818364297116
3.4248496993987976,5.639521723663539,3.4855164982981637,3.0834033887476404
3.434869739478958,5.673802793372759,3.47420541372488,3.062621609199631
3.444889779559118,5.707255845552122,3.461254592511966,3.041577989685694
3.4549098196392785,5.739864206028576,3.4466378406013907,3.020317512987982
3.464929859719439,5.77161439952321,3.4303352609168476,2.998888731578456
3.474949899799599,5.802496438957453,3.412333887153844,2.977343839359947
3.4849699398797593,5.832504122148243,3.392628344904312,2.9557387359268237
3.49498997995992,5.861635335144963,3.3712215395163425,2.9341330829778705
3.50501002004008,5.889892361352281,3.348125369838261,2.912590352569629
3.51503006012024,5.917282195466008,3.3233614667151774,2.891177866964497
3.5250501002004007,5.943816861123914,3.2969619547923985,2.8699668299049463
3.535070140280561,5.969513731038957,3.2689702358314463,2.849032349234473
3.5450901803607215,5.994395848238504,3.2394417913577698,2.8284534508883765
3.5551102204408815,6.018492246879416,3.208445002031712,2.808313084394242
3.565130260521042,6.041838270944482,3.176061980662785,2.788698120154303
3.5751503006012024,6.064475888950359,3.1423894152680942,2.7696993389309417
3.5851703406813624,6.086454002610293,3.1075394180057256,2.751411414123772
3.595190380761523,6.107828747195748,3.071640375188747,2.733932887613508
3.6052104208416833,6.128663781129228,3.0348377929016195,2.717366140155568
3.6152304609218437,6.149030562115248,2.997295131993436,2.70181735753682
3.6252505010020037,6.1690086068770835,2.959194625407577,2.687396493963614
3.635270541082164,6.188685731312629,2.9207380699196475,2.674217234430068
3.6452905811623246,6.208158267613412,2.8821475833904646,2.662396958124528
3.655310621242485,6.2275312546045685,2.843666317592365,2.652056705270842
3.665330661322645,6.246918597261098,2.805559115530278,2.6433211501721705
3.6753507014028055,6.266443191034967,2.768113100946933,2.6363185836301986
3.685370741482966,6.286237006288443,2.731638186368957,2.631180908354634
3.695390781563126,6.306441127770377,2.696467484609582,2.6280436514588685
3.7054108216432864,6.32720574369305,2.662957607088277,2.62704599866047
3.715430861723447,6.348690078566882,2.6314888306496647,2.6283308553725044
3.7254509018036073,6.37106226352762,2.6024651127558025,2.6320449404861765
3.7354709418837673,6.394499137444733,2.5763139329794296,2.638338919310461
3.7454909819639277,6.419185971629616,2.5534859366319043,2.647367582852906
3.755511022044088,6.445316110466461,2.534454354109267,2.6592900814014495
3.7655310621242486,6.47309051976668,2.5197141671236283,2.6742702212031
3.7755511022044086,6.502717234098056,2.5097809903945323,2.6924768339357437
3.785571142284569,6.534410693761032,2.5051896345954128,2.7140842296376455
3.7955911823647295,6.568390961476057,2.506492313372622,2.7392727447998353
3.8056112224448895,6.604882808205591,2.5142564540666994,2.768229398443742
3.81563126252505,6.644114656861921,2.529062068355601,2.8011486702045834
3.8256513026052104,6.686317371944515,2.5514986353936493,2.838233415724781
3.835671342685371,6.731722882408786,2.5821614461253826,2.879695936036443
3.845691382765531,6.780562624288199,2.621647353294917,2.925759219082343
3.8557114228456912,6.833065788774008,2.67054986723438,2.9766583730967353
3.8657314629258517,6.889457360598499,2.7294535327833263,3.0326422732462253
3.875751503006012,6.9499559306680405,2.798927517648598,3.093975444723055
3.885771543086172,7.014771265948482,2.8795183371426436,3.160940207394189
3.8957915831663326,7.084101618617215,2.9717416345207104,3.2338391091469405
3.905811623246493,7.1581307554603315,3.0760729300536633,3.31299767724161
3.915831663326653,7.237024687408803,3.1929372455035128,3.3987675192912854
3.9258517034068134,7.320928077972277,3.3226975037929436,3.4915298079461135
3.935871743486974,7.409960308140582,3.465641596354721,3.5916991859714
3.9458917835671343,7.504211174080052,3.621968002891053,3.6997281311848598
3.9559118236472943,7.603736192651207,3.791769840040298,3.816111823665526
3.9659318637274548,7.708551488414825,3.97501720671601,3.9413935607755555
3.975951903807615,7.8186282343721425,4.171537684623353,4.0761707688545314
3.9859719438877756,7.933886617199862,4.3809948426441245,4.22110166396476
3.9959919839679356,8.054189296188811,4.602864583383879,4.376912617794272
4.006012024048096,8.17933432347498,4.836409159165151,4.544406288774057
