l,mu,nu,Real,Imag,Magnitud
12,0,15,-0.03260425423693023,-0.015440650448448131,0.036075630009987966
12,0,16,-0.03227201138326244,0.026974866808662564,0.04206098142062909
12,0,17,-0.03589337308090281,-0.023537892655986815,0.04292279839210902
12,0,18,0.0322720113832624,0.026974866808662578,0.04206098142062907
12,0,19,0.0718964790379913,0.05885560796762722,0.09291440301319999
12,0,20,0.08732993119447907,-0.05843820568755184,0.10507873603357182
12,0,21,-0.08732993119447909,-0.05843820568755185,0.10507873603357185
12,0,22,0.0718964790379913,-0.058855607967627226,0.09291440301319999
12,0,23,0.013107671948902123,0.015221157642756748,0.020087177599296714
12,0,24,-0.013107671948902118,0.015221157642756748,0.020087177599296714
12,1,0,-0.10592676399604065,0.03314931612389009,0.11099259655560137
12,1,1,0.026828247675098615,0.14628651942142776,0.1487262607536147
12,1,2,-0.03271566031300341,0.09683580652322206,0.10221295345854518
12,1,3,-0.03839543995310224,0.13901290678027514,0.14421788398355367
12,1,4,-0.05842001937296268,-0.0013908139525988634,0.05843657268344952
12,1,5,0.033399420732217966,0.17907039228387542,0.1821585207942487
12,1,6,-0.09687308230543674,-1.6534820766860698e-18,0.09687308230543674
12,1,7,-0.03339942073221798,0.1790703922838753,0.1821585207942486
12,1,8,-0.058420019372962574,0.0013908139525988788,0.058436572683449414
12,1,9,0.03839543995310224,0.13901290678027514,0.14421788398355367
12,1,10,-0.032715660313003464,-0.09683580652322209,0.10221295345854522
12,1,11,-0.026828247675098574,0.14628651942142776,0.1487262607536147
12,1,12,-0.10592676399604066,-0.033149316123890084,0.11099259655560138
12,1,13,0.09408665234115714,-0.0348996819921553,0.1003508144058599
12,1,14,-0.12501913735075643,-0.027041871199334183,0.1279103103814883
12,1,15,-0.12501913735075643,0.027041871199334183,0.1279103103814883
12,1,16,-0.013520014988356479,-0.04789364412727932,0.04976536901376157
12,1,17,0.09408665234115715,0.0348996819921553,0.10035081440585991
12,1,18,0.013520014988356453,-0.04789364412727936,0.04976536901376161
12,1,19,-0.16924832419272118,0.04495861559188005,0.17511788131993514
12,1,20,-0.045349503259947584,0.06859075170724246,0.08222693394313436
12,1,21,0.04534950325994758,0.06859075170724246,0.08222693394313436
12,1,22,-0.1692483241927212,-0.044958615591880066,0.17511788131993516
12,1,23,0.04756765573013544,-0.16467865335490872,0.17141102864882085
12,1,24,-0.047567655730135425,-0.16467865335490872,0.17141102864882085
13,0,0,0.004003770066390305,0.04468295635972096,0.04486197458638273
13,0,1,0.004003770066390305,-0.04468295635972095,0.04486197458638273
13,0,2,0.005487161719256585,0.02521570871488328,0.025805830924950188
13,0,3,-0.003995936255821259,0.021130921086473305,0.021505425653154345
13,0,4,0.0435176466792351,-0.0030449489694076492,0.04362404482306791
13,0,5,-0.018563302558637786,-0.07455735224747626,0.07683355371214962
13,0,6,0.012579346569353876,-0.01631208247106776,0.02059912606531722
13,0,7,0.0024529838057300406,0.02769325672712867,0.027801683361009473
13,0,8,0.03050431172054172,0.06198020430806399,0.0690800894586373
13,0,9,0.013891077069535825,-0.0013787932466750366,0.013959337124980566
13,0,10,0.0334243403104311,0.027029565884266877,0.04298585764038486
13,0,11,0.036661115800192094,0.03372717567111196,0.04981525660342563
13,0,12,-6.366431152651643e-19,0.11520582660021994,0.11520582660021994
13,0,13,0.0366611158001921,-0.03372717567111194,0.04981525660342562
13,0,14,-0.0334243403104311,0.02702956588426687,0.04298585764038485
13,0,15,0.013891077069535828,0.0013787932466750364,0.01395933712498057
13,0,16,-0.03050431172054173,0.061980204308063995,0.06908008945863732
13,0,17,-0.028012894274945417,0.006916924904102425,0.02885422145524398
13,0,18,-0.002452983805730041,0.027693256727128704,0.02780168336100951
13,0,19,0.012579346569353889,0.01631208247106779,0.02059912606531725
13,0,20,0.01856330255863779,-0.07455735224747627,0.07683355371214963
13,0,21,0.043517646679235106,0.0030449489694076466,0.04362404482306792
13,0,22,0.003995936255821259,0.021130921086473305,0.021505425653154345
13,0,23,0.005487161719256584,-0.02521570871488328,0.025805830924950188
13,0,24,0.028012894274945417,0.006916924904102426,0.02885422145524398
13,0,25,-0.011312244315917286,-0.03562272508239221,0.0373757329527957
13,0,26,-0.011312244315917284,0.035622725082392205,0.03737573295279569
