lambda_A,B_0_0,B_4_0,B_6_0
2.6132264529058116,60.58772498023892,0.3425265959758773,0.22106505839837545
2.623246492985972,61.05324555100915,0.37129953988556885,0.15883016058251828
2.6332665330661325,61.52054767773336,0.40093090866176234,0.09530230246254418
2.6432865731462925,61.98963136041147,0.43143725366548635,0.030497041555770724
2.653306613226453,62.4604965990436,0.4628353414055005,-0.03556858153223654
2.663326653306613,62.933143393629656,0.49514215527396077,-0.10287600296671263
2.6733466933867733,63.407571744169694,0.5283748972887321,-0.17140509493678197
2.6833667334669338,63.88378165066371,0.5625509898422563,-0.2411341242972138
2.693386773547094,64.36177311311164,0.5976880774570098,-0.31203971059382374
2.7034068136272547,64.84154613151358,0.6338040285475978,-0.3840967834672658
2.7134268537074147,65.32310070586945,0.6709169371893732,-0.45727853942994673
2.723446893787575,65.80643683617929,0.7090451248937145,-0.5315563980109528
2.733466933867735,66.29155452244306,0.7482071423898421,-0.6068999572635738
2.7434869739478955,66.77845376466085,0.7884217714132683,-0.6832769486303147
2.753507014028056,67.2671345628326,0.8297080265008022,-0.7606531911599274
2.7635270541082164,67.75759691695829,0.8720851567921724,-0.8389925450713185
2.773547094188377,68.24984082703793,0.9155726478382453,-0.9182568646588821
2.7835671342685373,68.74386629307155,0.9601902234158044,-0.9984059505338951
2.7935871743486973,69.23967331505912,1.005957847348962,-1.079397501196743
2.8036072144288577,69.73726189300066,1.052895725337124,-1.161187063934382
2.8136272545090177,70.23663202689612,1.101024306789581,-1.2437279850378087
2.823647294589178,70.7377837167456,1.1503642866666655,-1.326971359333959
2.8336673346693386,71.24071696254906,1.2009366073275214,-1.4108659790267146
2.843687374749499,71.74543176430642,1.2527624603844436,-1.4953582818414137
2.8537074148296595,72.25192812201779,1.3058632885638295,-1.5803922984675047
2.8637274549098195,72.76020603568307,1.3602607875737156,-1.6659095992937456
2.87374749498998,73.27026550530232,1.4159769079779105,-1.7518492404304287
2.88376753507014,73.78210653087558,1.473033857076702,-1.8381477090131357
2.8937875751503004,74.29572911240277,1.5314541007941764,-1.9247388677823791
2.903807615230461,74.81113324988394,1.5912603655721251,-2.0115538989336095
2.9138276553106213,75.32831894331906,1.652475640270538,-2.098521247231941
2.9238476953907817,75.84728619270813,1.7151231780746912,-2.1855665623859712
2.9338677354709417,76.36803499805114,1.7792264984088355,-2.272612640675077
2.943887775551102,76.8905653593482,1.8448093888564578,-2.3595793658244744
2.953907815631262,77.4148772765991,1.9118959070871417,-2.446383649122381
2.9639278557114226,77.94097074980405,1.9805103827900576,-2.5329393687736212
2.973947895791583,78.46884577896292,2.050677419613966,-2.6191573084838478
2.9839679358717435,78.99850236407579,2.1224218971138904,-2.7049450952687137
2.993987975951904,79.52994050514262,2.1957689727043364,-2.790207136482229
3.004008016032064,80.06316020216339,2.2707440836191153,-2.874844556058456
3.0140280561122244,80.59816145513814,2.3473729488777844,-2.958755129960851
3.024048096192385,81.13494426406683,2.425681571258617,-3.041833220833276
3.034068136272545,81.67350862894945,2.5056962392782403,-3.1239697118470056
3.0440881763527052,82.2138545497861,2.5874435291778157,-3.2050519397377424
3.0541082164328657,82.75598202657667,2.670950306915805,-3.2849636270267975
3.064128256513026,83.29989105932121,2.756243730167384,-3.3635848134205846
