# alpha	beta	int	d	sig	s_int	s_d	s_sig
1.919860e+00	1.570780e+00	1.192231e-01	1.437500e+00	2.217865e-03	1.095153e-02	1.119507e-03	4.534043e-04
-1.174190e+00	1.503050e+00	1.180454e-01	1.437439e+00	2.642128e-03	9.231877e-03	1.046809e-03	4.898315e-04
-1.358900e+00	1.569350e+00	5.376028e-01	1.437777e+00	3.095792e-03	2.361557e-02	1.029080e-03	3.167033e-04
-1.304460e+00	1.506320e+00	4.763179e-01	1.437790e+00	2.371171e-03	2.773130e-02	6.632901e-04	2.763393e-04
-1.249920e+00	1.443860e+00	9.831410e-02	1.435414e+00	9.724239e-04	1.134632e-02	3.196480e-04	2.491340e-04
-1.441190e+00	1.491490e+00	1.330212e+00	1.438033e+00	2.811794e-03	3.916304e-02	2.818504e-04	1.525503e-04
-1.380700e+00	1.433900e+00	5.924127e-01	1.438069e+00	2.648156e-03	2.326692e-02	5.333346e-04	2.118026e-04
-1.319620e+00	1.377160e+00	1.426435e-01	1.437200e+00	1.805239e-03	1.969896e-02	5.729765e-04	4.386123e-04
-9.446580e-02	8.379240e-01	nan	nan	nan	nan	nan	nan
-2.046180e-01	8.193230e-01	nan	nan	nan	nan	nan	nan
-3.172930e-01	8.070210e-01	nan	nan	nan	nan	nan	nan
-5.833210e-02	7.275980e-01	nan	nan	nan	nan	nan	nan
-1.831020e-01	7.155360e-01	nan	nan	nan	nan	nan	nan
-3.094360e-01	7.113530e-01	nan	nan	nan	nan	nan	nan
-3.024860e-02	6.157280e-01	nan	nan	nan	nan	nan	nan
-1.747520e-01	6.108080e-01	nan	nan	nan	nan	nan	nan
-3.183700e-01	6.156900e-01	nan	nan	nan	nan	nan	nan
-1.381660e-02	5.028420e-01	nan	nan	nan	nan	nan	nan
-1.861090e-01	5.061260e-01	5.545741e-01	1.462859e+00	4.932011e-04	2.949091e+00	2.271380e-03	5.093792e-04
-3.516770e-01	5.215520e-01	nan	nan	nan	nan	nan	nan
-1.733160e-02	3.896330e-01	nan	nan	nan	nan	nan	nan
-2.305490e-01	4.030820e-01	4.778697e-01	1.405460e+00	3.218868e-02	1.858257e+01	6.428547e+01	3.795161e-01
-4.227770e-01	4.314010e-01	2.751188e-02	1.445843e+00	1.075361e-02	4.614123e-02	1.048376e+00	9.248389e-02
1.547800e+00	1.392960e+00	nan	nan	nan	nan	nan	nan
1.580010e+00	1.469880e+00	7.137840e-02	1.436253e+00	2.198123e-04	9.504849e-03	1.154207e-04	1.403724e-04
1.611520e+00	1.546420e+00	4.257835e-01	1.437583e+00	2.497701e-03	1.785307e-02	5.696524e-04	2.217249e-04
1.444720e+00	1.442370e+00	3.810039e-02	1.437657e+00	2.694133e-03	9.309749e-03	5.538737e-03	2.005553e-03
1.485180e+00	1.515250e+00	1.422703e-01	1.436429e+00	1.403590e-03	1.198090e-02	3.311457e-04	2.602492e-04
-1.616530e+00	1.553830e+00	5.116854e-01	1.436651e+00	2.153143e-03	1.562776e-02	1.815509e-04	1.264742e-04
1.348330e+00	1.502540e+00	3.243047e-02	1.434407e+00	4.512061e-04	1.033675e-02	5.117867e-04	6.070567e-04
1.396150e+00	1.570720e+00	3.099395e-01	1.437141e+00	2.415832e-03	1.508988e-02	4.505336e-04	2.423648e-04
-1.697900e+00	1.503110e+00	3.668577e-01	1.438027e+00	2.159544e-03	2.142676e-02	6.607944e-04	2.734034e-04
-1.882610e+00	1.569420e+00	5.259291e-02	1.434717e+00	6.065069e-04	1.111981e-02	3.294836e-04	4.244575e-04
-1.828170e+00	1.506390e+00	1.569366e-01	1.436572e+00	1.923595e-03	1.421265e-02	7.715826e-04	3.778680e-04
-1.773630e+00	1.443920e+00	1.146509e-01	1.437006e+00	2.584967e-03	9.602220e-03	1.624274e-03	5.788334e-04
-1.964900e+00	1.491570e+00	2.531933e-02	1.436020e+00	5.340060e-04	5.306257e-03	3.237244e-04	3.004248e-04
-1.904410e+00	1.433980e+00	5.705775e-02	1.437228e+00	1.516872e-03	8.034849e-03	8.220908e-04	4.436124e-04
-1.843340e+00	1.377230e+00	3.268875e-02	1.435929e+00	9.015541e-06	3.582349e+08	3.317286e+07	4.531663e+06
-6.177800e-01	8.380620e-01	nan	nan	nan	nan	nan	nan
-7.279160e-01	8.194490e-01	8.304833e-03	1.472931e+00	1.341543e-04	3.997499e+13	2.011542e+12	2.650363e+11
-8.405750e-01	8.071330e-01	nan	nan	nan	nan	nan	nan
-5.816300e-01	7.277390e-01	nan	nan	nan	nan	nan	nan
-7.063780e-01	7.156640e-01	nan	nan	nan	nan	nan	nan
-8.326930e-01	7.114650e-01	nan	nan	nan	nan	nan	nan
-5.535250e-01	6.158710e-01	nan	nan	nan	nan	nan	nan
-6.979980e-01	6.109370e-01	nan	nan	nan	nan	nan	nan
-8.415940e-01	6.158010e-01	nan	nan	nan	nan	nan	nan
-5.370610e-01	5.029870e-01	1.205116e-02	1.434782e+00	1.595720e-06	2.926036e+08	9.156994e+07	3.683826e+06
-7.093120e-01	5.062540e-01	2.327336e+00	1.472167e+00	3.500000e-02	nan	nan	nan
-8.748530e-01	5.216600e-01	nan	nan	nan	nan	nan	nan
-5.405200e-01	3.897770e-01	2.494252e+00	1.472519e+00	3.500000e-02	nan	nan	nan
-7.536780e-01	4.032050e-01	1.174345e-02	1.435103e+00	4.779463e-06	2.591972e+08	2.207312e+07	9.022963e+06
-9.458800e-01	4.314990e-01	3.205098e-02	1.445227e+00	1.472109e-02	3.092829e-01	3.890859e-01	7.183532e-02
1.024370e+00	1.393050e+00	nan	nan	nan	nan	nan	nan
1.056590e+00	1.469960e+00	1.323607e-01	1.456585e+00	1.717324e-02	7.627705e-01	2.296340e-01	6.559783e-02
1.088110e+00	1.546500e+00	2.788484e-02	1.436310e+00	9.085754e-04	1.621963e-02	8.229870e-04	8.210880e-04
9.212970e-01	1.442480e+00	2.239750e-01	1.407320e+00	3.049986e-02	2.435971e+01	4.534521e+01	3.439110e+00
9.617660e-01	1.515340e+00	nan	nan	nan	nan	nan	nan
-2.139930e+00	1.553740e+00	4.441068e-02	1.433216e+00	5.697993e-03	2.817106e-02	9.342478e-03	5.479520e-03
8.249130e-01	1.502650e+00	nan	nan	nan	nan	nan	nan
-2.268840e+00	1.570760e+00	1.466805e-02	1.437722e+00	2.213815e-03	1.412925e-02	3.891183e-03	3.001472e-03
-2.221300e+00	1.503010e+00	1.652174e-02	1.435467e+00	3.000634e-03	1.071553e-02	1.678369e-02	5.392506e-03
-2.406010e+00	1.569300e+00	1.024454e-02	1.435068e+00	3.629161e-03	1.128675e-02	5.014967e-02	1.280657e-02
-2.351570e+00	1.506270e+00	8.038498e-03	1.410254e+00	6.879281e-05	4.853567e+00	5.202113e-01	1.214681e+00
-2.297020e+00	1.443810e+00	nan	nan	nan	nan	nan	nan
-2.488300e+00	1.491440e+00	1.729713e-02	1.439032e+00	7.223562e-04	4.317643e-03	5.211156e-04	3.943170e-04
-2.427800e+00	1.433850e+00	1.723914e-02	1.436912e+00	2.532959e-03	7.063777e-03	6.844641e-03	2.666101e-03
-2.366720e+00	1.377110e+00	5.260903e-12	1.416905e+00	1.261309e-02	nan	nan	nan
-1.141400e+00	8.380370e-01	3.303823e-02	1.435353e+00	4.375599e-05	4.118792e+03	5.680575e+02	1.913011e+03
-1.251540e+00	8.194190e-01	nan	nan	nan	nan	nan	nan
-1.364200e+00	8.070980e-01	nan	nan	nan	nan	nan	nan
-1.105240e+00	7.277160e-01	nan	nan	nan	nan	nan	nan
-1.229990e+00	7.156350e-01	nan	nan	nan	nan	nan	nan
